Tickers,Company,MCap,Price,24h Change %,Price Range
LRCX,Lam Research Corporation,9496.0,73.8,2.8,50-100
SO,The Southern Company,9099.0,83.04,0.22,50-100
MO,"Altria Group, Inc.",9081.0,53.58,-0.48,50-100
EQIX,"Equinix, Inc.",9066.0,939.59,1.33,500-1000
CRWD,"CrowdStrike Holdings, Inc.",8904.0,361.5,-0.22,200-500
INTC,Intel Corporation,8712.0,20.2,3.48,<50
PYPL,"PayPal Holdings, Inc.",8712.0,86.9,-0.26,50-100
KLAC,KLA Corporation,8667.0,647.99,2.96,500-1000
SHW,The Sherwin-Williams Company,8655.0,344.84,-0.18,200-500
ICE,"Intercontinental Exchange, Inc.",8622.0,150.16,-0.1,100-200
AMT,American Tower Corporation,8616.0,184.38,0.35,100-200
ELV,"Elevance Health, Inc.",8602.0,370.89,1.35,200-500
MCO,Moody's Corporation,8586.0,473.76,1.59,200-500
CME,CME Group Inc.,8577.0,238.01,-0.22,200-500
APH,Amphenol Corporation,8559.0,70.99,0.58,50-100
TT,Trane Technologies plc,8494.0,377.49,0.1,200-500
ABNB,"Airbnb, Inc.",8404.0,134.52,0.23,100-200
CMG,"Chipotle Mexican Grill, Inc.",8397.0,61.58,-0.47,50-100
DUK,Duke Energy Corporation,8386.0,108.56,0.26,100-200
CDNS,"Cadence Design Systems, Inc.",8349.0,304.41,0.98,200-500
DELL,Dell Technologies Inc.,8323.0,118.82,2.63,100-200
PH,Parker-Hannifin Corporation,8311.0,645.65,-0.24,500-1000
WM,"Waste Management, Inc.",8180.0,203.8,-0.99,200-500
MDLZ,"Mondelez International, Inc.",7927.0,59.28,-0.19,50-100
MAR,"Marriott International, Inc.",7882.0,283.63,-0.12,200-500
MSI,"Motorola Solutions, Inc.",7851.0,469.77,-0.04,200-500
CI,The Cigna Group,7834.0,281.63,1.7,200-500
WELL,Welltower Inc.,7822.0,125.62,0.79,100-200
AON,Aon plc,7748.0,358.28,-0.05,200-500
REGN,"Regeneron Pharmaceuticals, Inc.",7694.0,715.13,1.89,500-1000
HCA,"HCA Healthcare, Inc.",7688.0,303.52,-0.03,200-500
PNC,"The PNC Financial Services Group, Inc.",7663.0,193.12,0.19,100-200
SNPS,"Synopsys, Inc.",7614.0,492.58,0.08,200-500
ITW,Illinois Tool Works Inc.,7608.0,257.64,-0.46,200-500
CTAS,Cintas Corporation,7550.0,187.12,0.1,100-200
USB,U.S. Bancorp,7538.0,48.32,0.83,<50
